SRA_Run_ID	Unique_reads_in_Sample	Unique_hits_in_Blast	Unique_hits_perc_in_Blast	Total_reads_in_Sample	Total_hits_in_Blast	Total_hits_perc_in_Blast	Blast_mapping_cutoff	Unique_reads_in_Sample	Unique_hits_in_Bowtie2	Unique_hits_perc_in_Bowtie2	Total_reads_in_Sample	Total_hits_in_Bowtie2	Total_hits_perc_in_Bowtie2	Bowtie2_mapping_cutoff	Run	RunType	RunSpots	SampleAlias	SampleAccession	StudyAlias	StudyAccession	StudyTitle	StudyAbstract	BioSampleModel	Time point	Treatment	collected_by	collection_date	collection_method	culture_collection	env_broad_scale	env_local_scale	env_medium	genotype	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	host_subject_id	host_tissue_sampled	isol_growth_condt	isolate	isolation_source	lat_lon	num_replicons	passage_history	pathotype	ref_biomaterial	replicate	sample_type	serotype	serovar	specimen_voucher	strain	subgroup	subtype	urine_collect_meth	urogenit_tract_disor
SRR14263520	112607	1440	1.2788	116636	1485	1.2732	PASS	112607	1417	1.2584	116636	1460	1.2518	PASS	SRR14263520	PAIRED	1166667	1	SRS8722500	PRJNA722586	SRP315168	Enterococcus faecalis Genome sequencing and assembly	16C51	Pathogen.cl	-	-	The 6th Affiliated Hospital of Shenzhen University Health Science Center	2011-01-01/2015-12-31	-	-	-	-	-	-	China	Homo sapiens	-	-	e urinary tract infections, cholecystitis, endocarditis, bacteremia,	-	-	-	-	-	-	-	EF16C51	Shenzhen Nanshan Peoples Hospital	22.32 N 114.03 E	-	-	-	-	-	-	-	-	-	EF16C51-1	-	-	-	-
SRR11441014	208892	2094	1.0024	214429	2167	1.0106	PASS	208892	2091	1.0010	214429	2164	1.0092	PASS	SRR11441014	PAIRED	2145494	Ef_UMB1309	SRS6392409	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	not applicable	-	-	not applicable	not applicable	not applicable	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	-	-	-	29674608	-	-	41.86 N 87.84 W	not applicable	-	-	not appplicable	-	-	-	-	-	UMB1309	-	-	catheter	UTI
SRR28710894	136398	950	0.6965	151776	1055	0.6951	FAIL	136398	927	0.6796	151776	1031	0.6793	FAIL	SRR28710894	PAIRED	1517905	UMB7967	SRS21042664	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	2017-10-11	-	-	Human bacterial culture	urinary tract	urine	-	USA: San Diego, CA	Homo sapiens	-	-	-	-	-	-	female	-	-	26962083	-	-	32.87 N 117.21 W	1	-	-	unpublished	-	-	-	-	-	UMB7967	-	-	clean catch	-
SRR14552125	184451	1239	0.6717	190330	1288	0.6767	FAIL	184451	1222	0.6625	190330	1270	0.6673	FAIL	SRR14552125	PAIRED	1911786	1043	SRS8988342	PRJNA729754	SRP319902	Genomic diversity and ampicillin/ceftriaxone susceptibility of Enterococcus faecalis from infective endocarditis	Enterococcus faecalis is a leading cause of infective endocarditis (IE), especially among older patients with comorbidities. Here we investigated the genomic diversity and antimicrobial susceptibility of 33 contemporary E. faecalis isolates from definite or probable IE cases at the University of Pittsburgh Medical Center (UPMC) between 2018 and 2020. Isolates belonging to two multi-locus sequence types (STs), ST6 and ST179, were isolated from nearly 40% of IE patients. Overall, we found evidence for diminished in vitro AC efficacy among E. faecalis IE isolates with PBP4 mutations. This study highlights the need to evaluate alternate antibiotic combinations in clinical practice against diverse contemporary E. faecalis IE isolates.	Pathogen.cl	-	-	University of Pittsburgh Medical Center	2020	-	-	-	-	-	-	USA: Pittsburgh	Homo sapiens	-	-	Infective Endocarditis	-	-	-	-	-	-	-	DVT_1043	blood	40.4406 N 79.9959 W	-	-	-	-	-	-	-	-	-	E. faecalis	-	-	-	-
SRR26330447	18161	118	0.6497	18212	118	0.6479	FAIL	18161	120	0.6608	18212	120	0.6589	FAIL	SRR26330447	PAIRED	184151	17EQU_003	SRS19110582	PRJNA1026340	SRP465331	Whole genome sequence analysis of multi-drug resistant Staphylococcus spp. and Enterococcus spp. causing clinical infections in horses in Australia	-	Microbe, viral or environmental	-	-	-	2021	-	-	-	-	-	-	Australia	horse	-	-	-	-	-	-	-	-	-	-	17EQU_003	-	-	-	-	-	-	-	cell culture	-	-	-	-	-	-	-	-
SRR14817168	33330	206	0.6181	33364	207	0.6204	FAIL	33330	201	0.6031	33364	202	0.6054	FAIL	SRR14817168	PAIRED	333903	1207_2014	SRS9211026	PRJNA731638	SRP324128	VanA enterococci	Vancomycin resistant enterococci (VRE) cause difficult to treat nosocomial infections due to limited therapeutic options. Resistance to vancomycin and teicoplanin (VanA phenotype) is usually transferred on mobile genetic elements. The main goal of the project is to characterize the genetic diversity of clinical VanA enterococci in Poland.	Pathogen.cl	-	-	National Medicines Institute	2014	-	-	-	-	-	-	Poland: Ostrow Mazowiecka	Homo sapiens	-	-	asymptomatic carriage	-	-	-	-	-	-	-	-	feces	52.8071 N 21.8796 E	-	-	-	-	-	-	-	-	-	1207/14	-	-	-	-
SRR14552126	198644	988	0.4974	205663	1017	0.4945	FAIL	198644	957	0.4818	205663	983	0.4780	FAIL	SRR14552126	PAIRED	2064800	1034	SRS8988341	PRJNA729754	SRP319902	Genomic diversity and ampicillin/ceftriaxone susceptibility of Enterococcus faecalis from infective endocarditis	Enterococcus faecalis is a leading cause of infective endocarditis (IE), especially among older patients with comorbidities. Here we investigated the genomic diversity and antimicrobial susceptibility of 33 contemporary E. faecalis isolates from definite or probable IE cases at the University of Pittsburgh Medical Center (UPMC) between 2018 and 2020. Isolates belonging to two multi-locus sequence types (STs), ST6 and ST179, were isolated from nearly 40% of IE patients. Overall, we found evidence for diminished in vitro AC efficacy among E. faecalis IE isolates with PBP4 mutations. This study highlights the need to evaluate alternate antibiotic combinations in clinical practice against diverse contemporary E. faecalis IE isolates.	Pathogen.cl	-	-	University of Pittsburgh Medical Center	2020	-	-	-	-	-	-	USA: Pittsburgh	Homo sapiens	-	-	Infective Endocarditis	-	-	-	-	-	-	-	DVT_1034	blood	40.4406 N 79.9959 W	-	-	-	-	-	-	-	-	-	E. faecalis	-	-	-	-
SRR26330446	18734	81	0.4324	18788	81	0.4311	FAIL	18734	81	0.4324	18788	81	0.4311	FAIL	SRR26330446	PAIRED	188183	17EQU_006	SRS19110583	PRJNA1026340	SRP465331	Whole genome sequence analysis of multi-drug resistant Staphylococcus spp. and Enterococcus spp. causing clinical infections in horses in Australia	-	Microbe, viral or environmental	-	-	-	2021	-	-	-	-	-	-	Australia	horse	-	-	-	-	-	-	-	-	-	-	17EQU_006	-	-	-	-	-	-	-	cell culture	-	-	-	-	-	-	-	-
SRR23948640	206949	820	0.3962	593827	1190	0.2004	FAIL	206949	786	0.3798	593827	1136	0.1913	FAIL	SRR23948640	PAIRED	5947311	19	SRS17122815	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	3	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948650	253782	1062	0.4185	1421816	1958	0.1377	FAIL	253782	1015	0.3999	1421816	1876	0.1319	FAIL	SRR23948650	PAIRED	14228838	1	SRS17122805	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	5h	Vancomycin	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	1	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
